organization,pacs,honoree,date,amount_usd
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dan Newhouse,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Steve Womack,2025-05-20,1500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,John Hoeven,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Richard Hudson,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Tracey Mann,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Pete Sessions,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mariannette Miller-Meeks,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dan Newhouse,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Bruce Westerman,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Ben Cline,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mark Messmer,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Michelle Fischbach,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,David Valadao,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Tracey Mann,2025-06-24,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Zach Nunn,2025-06-24,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,RG2/Tuesday Group PAC,2025-01-13,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Adrian Smith,2025-01-13,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mark Warner,2025-01-13,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dusty Johnson,2025-01-13,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Thom Tillis,2025-01-13,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Angie Craig,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Angie Craig,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Angie Craig,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Glenn Thompson,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Jim Costa,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,John Thune,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mike Johnson,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Tom Emmer,2025-02-10,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Jason Smith,2025-02-10,3000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Richard Hudson,2025-02-10,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Steve Womack,2025-03-18,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Amy Klobuchar,2025-03-18,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dusty Johnson,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,David Rouzer,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Sanford Bishop Jr.,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,John Moolenaar,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Ducks Unlimited,2025-03-18,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Ashley Hinson,2025-05-12,3500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Brad Finstad,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Brad Knott,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Frank Lucas,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Don Davis,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Adrian Smith,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dan Newhouse,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Steve Womack,2025-05-20,1500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,John Hoeven,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Richard Hudson,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Tracey Mann,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Pete Sessions,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mariannette Miller-Meeks,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dan Newhouse,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Bruce Westerman,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Ben Cline,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mark Messmer,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Michelle Fischbach,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,David Valadao,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Tracey Mann,2025-06-24,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Zach Nunn,2025-06-24,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,RG2/Tuesday Group PAC,2025-01-13,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Adrian Smith,2025-01-13,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mark Warner,2025-01-13,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dusty Johnson,2025-01-13,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Thom Tillis,2025-01-13,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Angie Craig,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Angie Craig,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Angie Craig,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Glenn Thompson,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Jim Costa,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,John Thune,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mike Johnson,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Tom Emmer,2025-02-10,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Jason Smith,2025-02-10,3000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Richard Hudson,2025-02-10,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Steve Womack,2025-03-18,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Amy Klobuchar,2025-03-18,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dusty Johnson,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,David Rouzer,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Sanford Bishop Jr.,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,John Moolenaar,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Ducks Unlimited,2025-03-18,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Ashley Hinson,2025-05-12,3500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Brad Finstad,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Brad Knott,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Frank Lucas,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Don Davis,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Adrian Smith,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dan Newhouse,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Steve Womack,2025-05-20,1500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,John Hoeven,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Richard Hudson,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Tracey Mann,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Pete Sessions,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mariannette Miller-Meeks,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dan Newhouse,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Bruce Westerman,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Ben Cline,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mark Messmer,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Michelle Fischbach,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,David Valadao,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Tracey Mann,2025-06-24,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Zach Nunn,2025-06-24,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,RG2/Tuesday Group PAC,2025-01-13,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Adrian Smith,2025-01-13,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mark Warner,2025-01-13,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dusty Johnson,2025-01-13,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Thom Tillis,2025-01-13,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Angie Craig,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Angie Craig,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Angie Craig,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Glenn Thompson,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Jim Costa,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,John Thune,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mike Johnson,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Tom Emmer,2025-02-10,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Jason Smith,2025-02-10,3000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Richard Hudson,2025-02-10,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Steve Womack,2025-03-18,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Amy Klobuchar,2025-03-18,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dusty Johnson,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,David Rouzer,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Sanford Bishop Jr.,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,John Moolenaar,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Ducks Unlimited,2025-03-18,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Ashley Hinson,2025-05-12,3500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Brad Finstad,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Brad Knott,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Frank Lucas,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Don Davis,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Adrian Smith,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dan Newhouse,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Steve Womack,2025-05-20,1500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,John Hoeven,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Richard Hudson,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Tracey Mann,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Pete Sessions,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mariannette Miller-Meeks,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dan Newhouse,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Bruce Westerman,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Ben Cline,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mark Messmer,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Michelle Fischbach,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,David Valadao,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Tracey Mann,2025-06-24,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Zach Nunn,2025-06-24,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,RG2/Tuesday Group PAC,2025-01-13,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Adrian Smith,2025-01-13,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mark Warner,2025-01-13,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dusty Johnson,2025-01-13,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Thom Tillis,2025-01-13,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Angie Craig,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Angie Craig,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Angie Craig,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Glenn Thompson,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Jim Costa,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,John Thune,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mike Johnson,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Tom Emmer,2025-02-10,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Jason Smith,2025-02-10,3000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Richard Hudson,2025-02-10,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Steve Womack,2025-03-18,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Amy Klobuchar,2025-03-18,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dusty Johnson,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,David Rouzer,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Sanford Bishop Jr.,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,John Moolenaar,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Ducks Unlimited,2025-03-18,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Ashley Hinson,2025-05-12,3500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Brad Finstad,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Brad Knott,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Frank Lucas,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Don Davis,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Adrian Smith,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dan Newhouse,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Steve Womack,2025-05-20,1500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,John Hoeven,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Richard Hudson,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Tracey Mann,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Pete Sessions,2025-05-20,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mariannette Miller-Meeks,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dan Newhouse,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Bruce Westerman,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Ben Cline,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mark Messmer,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Michelle Fischbach,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,David Valadao,2025-06-05,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Tracey Mann,2025-06-24,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Zach Nunn,2025-06-24,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,RG2/Tuesday Group PAC,2025-01-13,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Adrian Smith,2025-01-13,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mark Warner,2025-01-13,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dusty Johnson,2025-01-13,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Thom Tillis,2025-01-13,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Angie Craig,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Angie Craig,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Angie Craig,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Glenn Thompson,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Jim Costa,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,John Thune,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Mike Johnson,2025-02-10,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Tom Emmer,2025-02-10,2500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Jason Smith,2025-02-10,3000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Richard Hudson,2025-02-10,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Steve Womack,2025-03-18,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Amy Klobuchar,2025-03-18,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Dusty Johnson,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,David Rouzer,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Sanford Bishop Jr.,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,John Moolenaar,2025-03-18,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Ducks Unlimited,2025-03-18,5000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Ashley Hinson,2025-05-12,3500.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Brad Finstad,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Brad Knott,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Frank Lucas,2025-05-12,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,Don Davis,2025-05-12,1000.00
